y_px,x_px,sigma_px,height_nm,mean_nm,baseline_nm,area_px,x_nm,y_nm,method
220.0,360.0,2.923192024230957,737.40771484375,752.665283203125,328.6451416015625,57,2109.375,1289.0625,baseline
480.0,28.0,3.8847882747650146,941.67578125,768.5079956054688,430.494140625,97,164.0625,2812.5,baseline
499.0,281.0,2.923192024230957,803.2100219726562,668.4834594726562,245.31951904296875,57,1646.484375,2923.828125,baseline
51.0,149.0,2.923192024230957,800.2107849121094,637.5386962890625,200.46499633789062,57,873.046875,298.828125,baseline
65.0,302.0,2.923192024230957,710.7776489257812,681.5418701171875,257.69708251953125,57,1769.53125,380.859375,baseline
92.0,296.0,2.923192024230957,794.7692565917969,633.8641967773438,179.02951049804688,57,1734.375,539.0625,baseline
131.0,431.0,2.923192024230957,771.9951171875,624.4072265625,206.1708984375,57,2525.390625,767.578125,baseline
479.0,117.0,3.8847882747650146,719.080322265625,700.83056640625,349.63330078125,97,685.546875,2806.640625,baseline
164.0,209.0,2.923192024230957,781.00341796875,821.2721557617188,435.944580078125,57,1224.609375,960.9375,baseline
105.0,21.0,3.8847882747650146,737.76025390625,731.80419921875,381.1348876953125,97,123.046875,615.234375,baseline
477.0,191.0,1.9615960121154785,790.9563903808594,971.9126586914062,476.9779357910156,21,1119.140625,2794.921875,baseline
499.0,470.0,2.923192024230957,870.5106201171875,911.1124877929688,515.9610595703125,57,2753.90625,2923.828125,baseline
396.0,85.0,3.8847882747650146,716.2902221679688,788.3341674804688,432.99371337890625,97,498.046875,2320.3125,baseline
476.0,273.0,2.923192024230957,769.6925964355469,754.1753540039062,332.5681457519531,57,1599.609375,2789.0625,baseline
15.0,398.0,3.8847882747650146,772.0677490234375,649.3441772460938,267.4180908203125,97,2332.03125,87.890625,baseline
81.0,201.0,2.923192024230957,872.479736328125,675.0592041015625,252.8446044921875,57,1177.734375,474.609375,baseline
349.0,453.0,2.923192024230957,708.0645141601562,751.918212890625,350.59832763671875,57,2654.296875,2044.921875,baseline
464.0,99.0,2.923192024230957,923.9401245117188,712.5107421875,299.65899658203125,57,580.078125,2718.75,baseline
464.0,219.0,2.923192024230957,721.6599731445312,684.0349731445312,256.44842529296875,57,1283.203125,2718.75,baseline
333.0,491.0,2.923192024230957,675.8617858886719,857.7662353515625,431.1146545410156,57,2876.953125,1951.171875,baseline
19.0,156.0,2.923192024230957,754.5767669677734,680.54541015625,255.2597198486328,57,914.0625,111.328125,baseline
399.0,416.0,3.8847882747650146,911.4598388671875,673.8712158203125,317.2689208984375,97,2437.5,2337.890625,baseline
327.0,59.0,2.923192024230957,692.0368041992188,842.4625244140625,441.53302001953125,57,345.703125,1916.015625,baseline
98.0,69.0,2.923192024230957,777.6769104003906,691.1690673828125,292.5382995605469,57,404.296875,574.21875,baseline
59.0,382.0,1.9615960121154785,698.5924682617188,756.6060180664062,320.32684326171875,21,2238.28125,345.703125,baseline
156.0,444.0,2.923192024230957,719.9234619140625,676.8646240234375,294.8231201171875,57,2601.5625,914.0625,baseline
76.0,499.0,2.923192024230957,685.1954956054688,645.9334716796875,222.947265625,57,2923.828125,445.3125,baseline
403.0,256.0,2.923192024230957,678.8979187011719,718.0537109375,317.7412414550781,57,1500.0,2361.328125,baseline
72.0,352.0,3.8847882747650146,745.5346984863281,545.21728515625,183.37997436523438,97,2062.5,421.875,baseline
267.0,142.0,2.923192024230957,742.131591796875,715.4730834960938,303.766357421875,57,832.03125,1564.453125,baseline
281.0,291.0,2.923192024230957,716.07421875,731.0369873046875,356.377685546875,57,1705.078125,1646.484375,baseline
436.0,423.0,2.923192024230957,683.74560546875,669.874755859375,255.28472900390625,57,2478.515625,2554.6875,baseline
132.0,403.0,2.923192024230957,848.6961822509766,641.79345703125,247.66490173339844,57,2361.328125,773.4375,baseline
399.0,34.0,2.923192024230957,907.2198486328125,712.7096557617188,320.4007568359375,57,199.21875,2337.890625,baseline
419.0,313.0,2.923192024230957,678.9544677734375,814.0939331054688,437.716796875,57,1833.984375,2455.078125,baseline
